true \ predicted,0 Wash face,1 Brush teeth,2 Comb hair,3 Take off clothes,4 Wipe hands,5 Put on clothes,6 Drink water,7 Eat food,8 Take and use tableware,9 Pour drinks,10 Stir drinks,11 Peel fruits,12 Sweep the floor,13 Mop the floor,14 Wipe bowls,15 Wipe windows and tables,16 Fold clothes,17 Tap the keyboard,18 Write,19 Make a phone call,20 Check the time,21 Read documents,22 Turn pages,23 Listen to music with headphones,24 Use a mobile phone,25 Watch TV,26 Play games,27 Take a selfie,28 Jog in place,29 Do squats,30 Do jumping jacks,31 Do stretching exercises,32 Stand up,33 Lie down,34 Sit down,35 Do lunges,36 Walk,37 Take medicine,38 Massage oneself,39 Take body temperature
27 Take a selfie,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,3,0,0,63,2,0,0,0,0,2,0,0,0,0,1,0
28 Jog in place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,4,0,0,0
29 Do squats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,143,0,0,2,0,0,3,0,0,0,0
30 Do jumping jacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,2,0,0,0,0,0,0,0,0
31 Do stretching exercises,0,0,0,3,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,142,0,0,0,0,0,0,3,2
32 Stand up,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,173,0,0,1,0,0,0,0
33 Lie down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,72,4,0,0,0,0,0
34 Sit down,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,5,0,0,0,0,0,0,0,4,0,270,1,2,0,0,0
35 Do lunges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,2,0,0,0,2,30,2,0,0,0
36 Walk,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,6,0,715,0,0,0
37 Take medicine,2,1,2,0,4,3,30,5,4,1,0,1,0,0,1,0,0,0,0,4,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,75,1,2
38 Massage oneself,0,2,3,0,13,0,0,9,1,0,1,2,0,0,0,0,0,3,0,7,0,1,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,4,76,10
39 Take body temperature,0,2,5,1,1,1,1,3,0,9,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,2,0,0,0,5,0,0,2,0,0,4,3,65
